,Error
320,0.259563369129537
321,0.23986325690731772
322,0.22649586858673537
323,0.206386519059368
324,0.1849743854446491
325,0.16020420925042436
326,0.15226096065123826
327,0.15443568056625395
328,0.15971916368189606
329,0.17069877651055906
330,0.16828281006384807
331,0.16884778843659892
332,0.1602287149867146
333,0.14953877101902321
334,0.1424072370855614
335,0.13218208137781173
336,0.10943587414371433
337,0.09861833426749514
338,0.09207156441938297
339,0.09378505810054388
340,0.10104547942304784
341,0.11542504474476224
342,0.11857808813739569
343,0.11324144784870023
344,0.10984118106966102
345,0.1087944224443843
346,0.11555117116205309
347,0.12436640524301437
348,0.14121151325700695
349,0.15317560794694304
350,0.1459284509595319
351,0.12562960268106044
352,0.1208786847733315
353,0.11156417149125701
354,0.10977906574650681
355,0.12849271252589772
356,0.14824941593162363
357,0.1515190654498692
358,0.16184452896118548
359,0.1644105468787275
360,0.1733682259581786
361,0.1753087922290653
362,0.16198586123901806
363,0.1484345098569275
364,0.15116708440616594
365,0.16247157128490244
366,0.1719116765554786
367,0.17811927458597498
368,0.18454968924826687
369,0.19302376842578337
370,0.20094847056883353
371,0.20150567723421572
372,0.19070689570085012
373,0.18700366120326983
374,0.17107003232856563
375,0.1651076963053628
376,0.16605548858564473
377,0.16856105616653505
378,0.17201232415731843
379,0.16915249302499105
380,0.1703176391750792
381,0.15869077210497318
382,0.1599794956195374
383,0.14845451718260486
384,0.15038296796652353
385,0.1516297864146435
386,0.16959673538751685
387,0.17577216008502114
388,0.1696114715059308
389,0.16014274242257726
390,0.14318363727233382
391,0.14087758614484092
392,0.136522852700986
393,0.13740549421439593
394,0.12281638535385461
395,0.10573823715971918
396,0.1083579551654407
397,0.08631183944920807
398,0.0802195346397493
399,0.07508343052009675
400,0.07854954755815768
401,0.08808025188442921
402,0.0939143218425742
403,0.1024498950780098
404,0.11397411255718207
405,0.1273326911286553
406,0.14920555936212507
407,0.16730453449033697
408,0.18657614771160247
409,0.21126235072529453
410,0.22789432444072674
411,0.23655653033736057
412,0.23918164674161957
413,0.2380119609547202
414,0.254131677990857
415,0.27522049795123527
416,0.28701226696960713
417,0.29370212340223945
418,0.3021135627214185
419,0.2932373809353242
420,0.28691063368749714
421,0.2848850824273166
422,0.29800643524681725
423,0.30368547768989934
424,0.3045358646085868
425,0.31582642994228416
426,0.3209166019510007
427,0.3024080230642995
428,0.28259398306688177
429,0.2674068482976924
430,0.27248694069293466
431,0.2773810906831102
432,0.2880328998894272
433,0.30238479425697834
434,0.3060525259990793
435,0.3068706443085141
436,0.3055863223111484
437,0.2973835453156486
438,0.3060941561729525
439,0.31010583953692344
440,0.31115441764851176
441,0.305785432968271
442,0.3084195128437785
443,0.3007420689393729
444,0.29024656794989395
445,0.29357154570865285
446,0.2952618411191828
447,0.2911655324166521
448,0.2744294871164271
449,0.2717648351831519
450,0.2634794829323959
451,0.25297729307872224
452,0.25873921822080637
453,0.27361585449810233
454,0.2794321583182337
