Date,Open,High,Low,Close,Adj Close,Volume
2000-11-27,100.4375,102.0,98.4375,98.4375,62.97383117675781,3866200
2000-11-28,98.75,100.75,97.375,97.875,62.61392593383789,4799100
2000-11-29,97.75,99.9375,96.6875,99.8125,63.85344696044922,5524600
2000-11-30,98.0,98.0,92.25,93.5,59.815120697021484,10651400
2000-12-01,94.4375,99.3125,94.375,95.625,61.17457962036133,7525100
2000-12-04,96.0,99.1875,95.75,98.375,62.93381118774414,5566800
2000-12-05,100.4375,104.75,99.625,103.375,66.13247680664062,7804200
2000-12-06,101.75,101.8125,94.8125,96.75,61.89423751831055,10096900
2000-12-07,95.0625,95.9375,93.125,93.125,59.575233459472656,7922000
2000-12-08,98.0,99.0,95.75,97.0,62.05417251586914,6140600
2000-12-11,96.5,98.25,93.75,95.0,60.77473831176758,6185600
2000-12-12,95.25,96.125,92.5,93.875,60.055015563964844,7913300
2000-12-13,94.875,96.625,90.6875,91.25,58.375728607177734,6992600
2000-12-14,92.0,93.6875,91.8125,92.4375,59.13541030883789,6131400
2000-12-15,90.0,90.6875,87.3125,87.8125,56.17665100097656,14254500
2000-12-18,88.375,90.5,88.375,90.5,57.89592361450195,7693800
2000-12-19,90.1875,94.4375,89.8125,90.125,57.656036376953125,7705300
2000-12-20,85.875,88.0,84.8125,86.0,55.01715087890625,12579400
2000-12-21,85.5,87.9375,80.0625,81.5625,52.17828369140625,12725500
2000-12-22,84.5,89.375,84.5,89.0,56.93632888793945,9514000
2000-12-26,89.0,89.5625,84.25,84.8125,54.257450103759766,6052300
2000-12-27,84.75,88.125,83.5625,84.6875,54.17746353149414,8245100
2000-12-28,83.5,88.1875,82.125,85.25,54.53733825683594,9798600
2000-12-29,86.9375,86.9375,84.25,85.0,54.377403259277344,6943700
2001-01-02,84.5,87.5,84.125,84.8125,54.257450103759766,8007200
2001-01-03,83.75,95.0,83.75,94.625,60.534828186035156,12769900
2001-01-04,94.75,99.75,92.6875,93.1875,59.615211486816406,15420500
2001-01-05,93.9375,94.6875,91.0,94.0,60.13499450683594,8043200
2001-01-08,93.5,93.9375,91.5625,93.5625,59.85508728027344,6064800
2001-01-09,94.4375,95.75,91.4375,92.5625,59.215389251708984,7547100
2001-01-10,92.5,94.9375,91.6875,93.4375,59.77511978149414,7656100
2001-01-11,92.9375,94.25,91.25,93.6875,59.9350700378418,9635000
2001-01-12,93.6875,96.4375,92.375,93.8125,60.015037536621094,6448000
2001-01-16,93.75,94.0,91.8125,92.75,59.3353157043457,5671900
2001-01-17,95.375,97.75,94.3125,96.6875,61.85426330566406,9727000
2001-01-18,104.375,110.0,103.5,108.3125,69.29117584228516,25244900
2001-01-19,107.5,113.9375,107.25,111.25,71.17041015625,14762200
